StartTime,RTT
662.088,0.016
662.124,0.015
662.159,0.014
662.193,0.018
662.232,0.016
662.268,0.016
662.305,0.016
662.341,0.017
662.378,0.016
662.414,0.014
662.449,0.021
662.49,0.015
662.525,0.016
662.562,0.018
662.6,0.016
662.636,0.016
662.673,0.017
662.711,0.014
662.745,0.018
662.783,0.017
662.821,0.018
662.859,0.018
662.898,0.014
662.933,0.022
662.976,0.015
663.011,0.016
663.047,0.015
663.083,0.017
663.12,0.017
663.158,0.017
663.196,-1
664.216,0.018
664.254,0.018
664.293,0.018
664.331,0.015
664.366,-1
665.386,0.037
665.444,0.018
665.482,0.018
665.521,0.016
665.557,0.07
665.648,0.017
665.686,0.015
665.721,0.016
665.758,0.016
665.795,0.015
665.831,0.017
665.868,0.014
665.903,0.014
665.937,0.014
665.972,0.015
666.008,0.016
666.044,0.014
666.078,0.014
666.113,0.016
666.15,0.017
666.187,0.014
666.222,0.018
666.261,0.018
666.3,0.017
666.338,0.014
666.372,0.014
666.406,0.014
666.441,0.014
666.475,0.018
666.514,0.014
666.549,0.021
666.59,-1
667.61,0.017
667.647,0.113
667.781,0.015
667.816,0.014
667.85,0.018
667.889,0.018
667.928,0.016
667.964,0.028
668.013,0.016
668.05,0.015
668.085,0.016
668.122,0.016
668.158,0.017
668.195,0.015
668.231,0.014
668.265,0.017
668.302,0.015
668.338,0.015
668.373,0.016
668.41,0.015
668.445,0.016
668.482,0.016
668.519,0.017
668.556,0.017
668.594,0.016
668.63,0.015
668.666,0.014
668.701,0.415
669.136,0.014
669.17,0.015
669.206,0.016
669.243,0.017
669.28,0.015
669.316,0.014
669.351,0.018
669.39,0.017
669.427,0.074
669.521,0.062
669.604,0.016
669.64,0.035
669.696,0.016
669.732,0.015
669.768,0.018
669.807,-1
670.827,0.017
670.864,0.016
670.9,0.017
670.938,0.016
670.975,0.018
671.013,0.014
671.048,0.016
671.085,0.014
671.12,0.017
671.158,0.015
671.193,0.018
671.232,0.015
671.267,0.014
671.302,0.018
671.34,0.015
671.376,-1
672.396,0.018
672.435,0.015
672.47,0.014
672.504,0.018
672.543,0.017
672.58,0.017
672.617,0.015
672.653,0.018
672.692,0.017
672.729,0.015
672.765,0.015
672.801,0.018
672.839,0.016
672.876,0.015
672.912,0.015
672.947,0.016
672.983,0.016
673.02,0.014
673.054,0.015
673.09,0.018
673.128,0.014
673.163,0.014
673.197,0.016
673.233,0.017
673.271,0.014
673.305,0.014
673.34,0.016
673.376,0.017
673.414,0.014
673.448,0.018
673.487,0.016
673.524,0.017
673.562,0.014
673.596,0.016
673.633,0.017
673.67,0.018
673.709,0.014
673.743,0.015
673.778,0.017
673.816,0.017
673.854,0.016
673.89,0.015
673.926,0.018
673.964,0.016
674,0.018
674.039,0.017
674.077,0.018
674.116,0.017
674.154,0.018
674.192,0.017
674.23,0.018
674.269,0.015
674.304,0.015
674.339,0.018
674.378,0.018
674.416,0.015
674.452,0.018
674.49,0.017
674.527,0.016
674.564,0.016
674.601,0.015
674.636,0.015
674.671,0.015
674.707,0.014
674.741,-1
675.761,0.017
675.799,0.016
675.836,0.016
675.872,0.017
675.91,0.014
675.944,0.015
675.979,0.018
676.018,0.018
676.057,0.018
676.095,0.014
676.13,0.014
676.164,0.018
676.203,0.017
676.241,0.017
676.279,0.015
676.314,0.018
676.352,0.018
676.391,0.017
676.428,0.015
